 j           ha          z0d           dd           g2           g3          cc1          cc2        corb1        corb2
 2   3.94900000   0.53975206   4.62083307   0.71031432   0.71031432   9.23136483 362.72759929   2.71982235 331.43933144
 2   3.95500000   0.54092942   4.63202532   0.71006881   0.71006881   9.12825711 367.56862655   2.68742974 332.33164664
 2   3.95800000   0.54204698   4.64297054   0.70983159   0.70983159   9.02877727 372.38201901   2.65634630 334.46845535
 2   3.96100000   0.54310786   4.65367874   0.70960213   0.70960213   8.93272717 377.20290315   2.62631288 336.57911100
 2   3.96700000   0.54411497   4.66415935   0.70937996   0.70937996   8.83992312 382.06718108   2.59704008 337.35053305
 2   3.97000000   0.54507106   4.67442125   0.70916464   0.70916464   8.75019460 386.90370099   2.56893433 339.39745725
 2   3.97300000   0.54597868   4.68447281   0.70895577   0.70895577   8.66338305 391.74814776   2.54172251 341.41843102
 2   3.97600000   0.54684026   4.69432193   0.70875299   0.70875299   8.57934088 396.60065759   2.51535953 343.41351394
 2   3.98200000   0.54765803   4.70397609   0.70855593   0.70855593   8.49793048 401.49785048   2.48953949 344.02942987
 2   3.98500000   0.54843413   4.71344235   0.70836430   0.70836430   8.41902341 406.36707382   2.46474324 345.96196281
 2   3.98800000   0.54917055   4.72272740   0.70817780   0.70817780   8.34249965 411.24474539   2.44067791 347.86896720
 2   3.99100000   0.54986915   4.73183761   0.70799615   0.70799615   8.26824690 416.13098911   2.41730904 349.75055161
 2   3.99400000   0.55053170   4.74077898   0.70781911   0.70781911   8.19615995 421.02592711   2.39460436 351.60683588
 2   4.00000000   0.55115984   4.74955726   0.70764645   0.70764645   8.12614018 425.96704673   2.37223618 352.03598936
 2   4.00300000   0.55175515   4.75817790   0.70747795   0.70747795   8.05809499 430.87991690   2.35076431 353.83166390
 2   4.00600000   0.55231908   4.76664607   0.70731342   0.70731342   7.99193737 435.80183961   2.32987125 355.60256711
 2   4.00900000   0.55285301   4.77496672   0.70715267   0.70715267   7.92758547 440.73293454   2.30953179 357.34886076
 2   4.01200000   0.55335824   4.78314457   0.70699554   0.70699554   7.86496224 445.67332187   2.28972216 359.07071669
 2   4.01500000   0.55383600   4.79118412   0.70684187   0.70684187   7.80399507 450.62312272   2.27041995 360.76831672
 2   4.01800000   0.55428744   4.79908967   0.70669152   0.70669152   7.74461548 455.58245954   2.25160398 362.44185252
 2   4.02400000   0.55471364   4.80686532   0.70654436   0.70654436   7.68675879 460.58998245   2.23291667 362.62451535
 2   4.02700000   0.55511563   4.81451503   0.70640027   0.70640027   7.63036393 465.56893326   2.21500889 364.24089421
